"string","strung","strung","auffädeln, aufreihen, bespannen"
"strive","strove","striven","sich bemühen, kämpfen, streben"
"swear","swore","sworn","schwören, fluchen"
"sweat","sweat, sweated","sweat, sweated","schwitzen"
"sweep","swept","swept","kehren"
"swell","swelled","swollen, swelled","anschwellen, anwachsen"
"swim","swam","swum","schwimmen"
"swing","swung","swung","schwingen, swingen"
"take","took","taken","nehmen"
"teach","taught","taught","lehren, unterrichten, beibringen"
"tear","tore","torn","zerreißen"
"telecast","telecast, telecasted","telecast, telecasted","übertragen (im Fernsehen)"
"tell","told","told","erzählen"
"throw","threw","thrown","werfen"
"thrust","thrust","thrust","stoßen, stechen"
"tread","trod","trodden","treten"
"wake","woke, waked","woken, waked","wecken, aufwecken"
"wear","wore","worn","tragen (Kleidung)"
"weave","wove","woven","weben"
"wed","wed, wedded","wed, wedded","heiraten"
"weep","wept","wept","weinen"
"wet","wet, wetted","wet, wetted","nass machen, befeuchten"
"win","won","won","gewinnen"
"wind","wound","wound","wickeln, aufziehen, kurbeln"
"wring","wrung","wrung","auswringen, ringen (Hände)"
"write","wrote","written","schreiben"
